Street , Type, Room, Occupants,Appliance,Floor,Occupancy,Summer,Winter
Hoover , Bungalow, 1, 2, 2, 1, 101,258, 154.8
Adams , Bungalow, 2, 4, 4, 0, 93,121, 145.2
Vermont , Apartment, 2, 3, 5, 0, 87,122, 146.4
TwentyThird , Bungalow, 1, 2, 2, 0, 85,160, 192
Menlo , Apartment, 3, 5, 8, 1, 87,300, 180
Menlo , Bungalow, 2, 4, 4, 0, 103,135, 162
TwentyThird , Bungalow, 2, 3, 6, 0, 94,126, 151.2
Hoover , Bungalow, 1, 1, 2, 1, 85,154.5, 92.7
Hoover , Bungalow, 3, 3, 8, 0, 88,145, 174
Ellendale , Bungalow, 2, 6, 5, 1, 97,297, 178.2
Adams , Bungalow, 1, 2, 2, 1, 93,180, 108
Menlo , Bungalow, 1, 2, 2, 0, 85,194, 232.8
TwentyThird , Bungalow, 2, 5, 6, 1, 102,285, 171
Hoover , Apartment, 3, 4, 7, 1, 104,195, 117
ThirtyWest , Apartment, 1, 1, 2, 0, 104,130, 156
ThirtyWest , Bungalow, 1, 2, 3, 0, 97,183, 219.6
Hoover , Bungalow, 2, 6, 6, 1, 103,256.5, 153.9
Menlo , Bungalow, 3, 3, 6, 1, 94,178.5, 107.1
Vermont , Apartment, 1, 1, 2, 1, 98,262.5, 157.5
TwentyThird , Apartment, 1, 1, 2, 1, 86,268.5, 161.1
Adams , Apartment, 2, 6, 4, 1, 93,244.5, 146.7
Adams , Apartment, 3, 3, 8, 1, 96,246, 147.6
Jefferson , Bungalow, 3, 3, 6, 1, 93,255, 153
Adams , Bungalow, 2, 5, 4, 1, 89,198, 118.8
Jefferson , Apartment, 3, 3, 6, 1, 85,199.5, 119.7
Ellendale , Bungalow, 3, 6, 6, 1, 85,178.5, 107.1
TwentyThird , Apartment, 3, 4, 6, 1, 99,243, 145.8
Adams , Bungalow, 1, 1, 4, 0, 97,146, 175.2
Adams , Apartment, 3, 5, 8, 1, 90,219, 131.4
Menlo , Apartment, 1, 2, 3, 0, 96,179, 214.8
Hoover , Apartment, 2, 6, 6, 1, 91,150, 90
Figueroa , Bungalow, 2, 5, 5, 1, 104,228, 136.8
Hoover , Bungalow, 1, 1, 3, 1, 90,208.5, 125.1
Figueroa , Bungalow, 1, 1, 4, 1, 91,247.5, 148.5
TwentyThird , Apartment, 2, 3, 6, 0, 90,139, 166.8
Orchard , Apartment, 2, 4, 4, 0, 95,120, 144
TwentyThird , Apartment, 3, 4, 6, 1, 101,214.5, 128.7
Adams , Apartment, 1, 2, 4, 0, 96,161, 193.2
Hoover , Apartment, 2, 6, 6, 0, 92,187, 224.4
ThirtyWest , Apartment, 3, 6, 6, 0, 88,128, 153.6
Menlo , Apartment, 1, 2, 2, 1, 85,273, 163.8
Menlo , Apartment, 1, 1, 2, 1, 104,210, 126
Figueroa , Apartment, 3, 6, 6, 0, 93,166, 199.2
Orchard , Apartment, 3, 4, 8, 1, 95,247.5, 148.5
Menlo , Apartment, 2, 5, 6, 0, 86,108, 129.6
Vermont , Bungalow, 1, 1, 2, 1, 91,219, 131.4
Orchard , Bungalow, 2, 5, 5, 0, 87,140, 168
Jefferson , Bungalow, 2, 5, 6, 1, 103,292.5, 175.5
Adams , Bungalow, 2, 4, 4, 0, 93,128, 153.6
ThirtyWest , Bungalow, 3, 6, 6, 0, 87,163, 195.6
ThirtyWest , Bungalow, 3, 4, 6, 1, 96,210, 126
Ellendale , Bungalow, 1, 1, 3, 0, 91,154, 184.8
Adams , Bungalow, 2, 3, 4, 1, 91,223.5, 134.1
Ellendale , Apartment, 2, 6, 5, 1, 101,214.5, 128.7
Jefferson , Apartment, 3, 4, 7, 1, 88,246, 147.6
TwentyThird , Bungalow, 1, 1, 4, 0, 105,113, 135.6
Vermont , Bungalow, 1, 2, 2, 1, 103,190.5, 114.3
Orchard , Bungalow, 3, 4, 7, 0, 90,123, 147.6
Jefferson , Apartment, 2, 6, 4, 1, 95,256.5, 153.9
ThirtyWest , Bungalow, 3, 6, 8, 1, 95,249, 149.4
Menlo , Bungalow, 2, 3, 5, 1, 92,210, 126
Hoover , Bungalow, 2, 4, 6, 0, 96,190, 228
Jefferson , Bungalow, 2, 5, 4, 1, 96,216, 129.6
Menlo , Bungalow, 1, 1, 4, 0, 85,184, 220.8
TwentyThird , Apartment, 1, 1, 3, 0, 97,148, 177.6
Menlo , Apartment, 3, 5, 6, 1, 87,220.5, 132.3
Hoover , Apartment, 1, 2, 4, 0, 94,165, 198
TwentyThird , Bungalow, 1, 2, 3, 0, 105,103, 123.6
Ellendale , Bungalow, 2, 3, 6, 0, 92,185, 222
Orchard , Bungalow, 2, 6, 5, 1, 92,186, 111.6
Orchard , Bungalow, 3, 5, 7, 1, 89,213, 127.8
Menlo , Apartment, 1, 1, 4, 1, 95,262.5, 157.5
Hoover , Apartment, 3, 6, 8, 1, 97,210, 126
Adams , Apartment, 3, 6, 7, 0, 85,188, 225.6
Vermont , Apartment, 2, 6, 6, 0, 101,151, 181.2
Vermont , Apartment, 2, 3, 5, 0, 99,141, 169.2
